,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
117,TransitionBlock,2019-04-16 10:21:20.086,2019-04-16 10:22:40.086,1.3333333333332753,,,[]
118,80,2019-04-16 10:28:00.087,2019-04-16 10:30:20.087,2.3333333333332718,269.476656,64.304993,{'filter': 'G'}
119,TransitionBlock,2019-04-16 10:30:20.087,2019-04-16 10:31:20.087,1.0000000000001563,,,['filter:G to R']
120,142,2019-04-16 10:32:40.087,2019-04-16 10:35:40.087,2.9999999999999893,260.614929,74.032869,{'filter': 'R'}
121,TransitionBlock,2019-04-16 10:35:40.087,2019-04-16 10:36:20.087,0.6666666666665577,,,[]
122,67,2019-04-16 10:47:40.088,2019-04-16 10:50:20.088,2.6666666666665506,166.933564,65.661608,{'filter': 'R'}
123,TransitionBlock,2019-04-16 10:50:20.088,2019-04-16 10:52:00.088,1.6666666666665542,,,['filter:R to G']
124,49,2019-04-16 10:54:20.088,2019-04-16 10:57:20.088,2.9999999999999893,165.257451,10.14758,{'filter': 'G'}
125,TransitionBlock,2019-04-16 10:57:20.088,2019-04-16 10:59:40.088,2.3333333333332718,,,['filter:G to B']
126,25,2019-04-16 11:04:20.088,2019-04-16 11:06:20.088,1.999999999999993,271.381853,38.608981,{'filter': 'B'}
127,TransitionBlock,2019-04-16 11:06:20.088,2019-04-16 11:09:00.088,2.6666666666665506,,,['filter:B to G']
128,81,2019-04-16 11:10:20.088,2019-04-16 11:13:40.088,3.333333333333268,187.553878,-39.705563,{'filter': 'G'}
129,TransitionBlock,2019-04-16 11:13:40.088,2019-04-16 11:15:40.088,1.999999999999993,,,[]
130,106,2019-04-16 11:16:40.089,2019-04-16 11:19:00.089,2.3333333333332718,273.471406,4.047728,{'filter': 'G'}
131,TransitionBlock,2019-04-16 11:19:00.089,2019-04-16 11:19:40.089,0.6666666666665577,,,[]
132,147,2019-04-16 11:36:20.089,2019-04-16 11:39:20.089,2.9999999999999893,259.750191,-21.259022,{'filter': 'G'}
133,TransitionBlock,2019-04-16 11:39:20.089,2019-04-16 11:40:40.089,1.3333333333332753,,,['filter:G to R']
134,106,2019-04-16 11:58:00.090,2019-04-16 12:00:20.090,2.3333333333333517,273.471406,4.047728,{'filter': 'R'}
135,TransitionBlock,2019-04-16 12:00:20.090,2019-04-16 12:02:00.090,1.666666666666714,,,['filter:R to B']
136,142,2019-04-16 12:13:40.091,2019-04-16 12:16:40.091,2.9999999999999893,260.614929,74.032869,{'filter': 'B'}
137,TransitionBlock,2019-04-16 12:16:40.091,2019-04-16 12:17:00.091,0.33333333333343873,,,['filter:B to G']
138,12,2019-04-16 12:18:00.091,2019-04-16 12:21:00.091,2.9999999999999893,244.535605,79.88678,{'filter': 'G'}
139,TransitionBlock,2019-04-16 12:21:00.091,2019-04-16 12:22:00.091,0.9999999999999964,,,[]
140,25,2019-04-16 12:29:40.091,2019-04-16 12:31:40.091,1.999999999999993,271.381853,38.608981,{'filter': 'G'}
141,TransitionBlock,2019-04-16 12:31:40.091,2019-04-16 12:33:20.091,1.666666666666714,,,['filter:G to B']
142,147,2019-04-16 12:39:20.092,2019-04-16 12:42:20.092,2.9999999999999893,259.750191,-21.259022,{'filter': 'B'}
143,TransitionBlock,2019-04-16 12:42:20.092,2019-04-16 12:44:00.092,1.666666666666714,,,['filter:B to G']
144,2,2019-04-16 13:26:00.093,2019-04-16 13:28:20.093,2.3333333333332718,288.053844,36.115356,{'filter': 'G'}
145,TransitionBlock,2019-04-16 13:28:20.093,2019-04-16 13:29:20.093,0.9999999999999964,,,[]
146,51,2019-04-16 13:31:40.094,2019-04-16 13:35:00.094,3.333333333333428,309.310579,82.080862,{'filter': 'G'}
147,TransitionBlock,2019-04-16 13:35:00.094,2019-04-16 13:37:00.094,1.999999999999993,,,['filter:G to B']
148,62,2019-04-16 14:46:40.096,2019-04-16 14:49:00.096,2.3333333333332718,320.901207,7.307483,{'filter': 'B'}
149,TransitionBlock,2019-04-16 14:49:00.096,2019-04-16 14:50:20.096,1.3333333333334352,,,[]
150,11,2019-04-16 14:52:00.096,2019-04-16 14:55:00.096,2.9999999999998295,344.655928,62.55618,{'filter': 'B'}
151,TransitionBlock,2019-04-16 14:55:00.096,2019-04-16 14:55:20.096,0.33333333333327886,,,['filter:B to R']
152,11,2019-04-16 14:55:40.097,2019-04-16 14:58:40.097,2.9999999999998295,344.655928,62.55618,{'filter': 'R'}
153,TransitionBlock,2019-04-16 14:58:40.097,2019-04-16 15:00:40.097,1.999999999999993,,,[]
154,104,2019-04-16 15:02:20.097,2019-04-16 15:05:40.097,3.333333333333268,310.577796,-29.292293,{'filter': 'R'}
155,TransitionBlock,2019-04-16 15:05:40.097,2019-04-16 15:08:00.097,2.3333333333332718,,,['filter:R to B']
156,105,2019-04-16 15:15:40.097,2019-04-16 15:18:40.097,2.9999999999999893,352.455217,54.046902,{'filter': 'B'}
157,TransitionBlock,2019-04-16 15:18:40.097,2019-04-16 15:20:00.097,1.3333333333332753,,,['filter:B to G']
158,62,2019-04-16 15:23:40.098,2019-04-16 15:26:00.098,2.3333333333334316,320.901207,7.307483,{'filter': 'G'}
159,TransitionBlock,2019-04-16 15:26:00.098,2019-04-16 15:27:00.098,0.9999999999999964,,,[]
160,104,2019-04-16 15:32:20.098,2019-04-16 15:35:40.098,3.333333333333268,310.577796,-29.292293,{'filter': 'G'}
